Gene	Group	BS_P1	BS_3B	BS_4B	BS_5B	BS_6B	M_P1	M_3PM	M_4PM	M_5PM	M_1M	M_2M
Zm00001d027394	M1	2.013943643	-0.388530112	-0.674308551	-0.507002029	-0.592335766	1.969338661	-0.147036528	-0.35995212	-0.684158932	-0.183652377	-0.446305889
Zm00001d027399	M6	-0.727768845	0.916980804	1.479938413	1.053261911	0.880032437	-0.495851662	0.45751539	-0.470660301	-1.361293761	-0.353508742	-1.378645643
Zm00001d027403	M12	-0.155112375	-1.535721069	0.332049504	-0.212706827	-0.987910583	0.997708077	-1.333790534	0.236411994	0.201119669	0.683765177	1.774186967
Zm00001d027405	M1	2.331005009	-0.878590005	0.473966132	-0.178295882	0.141113373	-0.090801375	-0.424562596	-0.905677296	-1.222296554	0.981646916	-0.227507723
Zm00001d027411	M12	-0.497551312	-0.889211996	-1.019626389	-1.052646562	-1.092024741	-0.101291212	0.990175593	0.365280632	0.485889939	1.011536124	1.799469924
Zm00001d027412	M6	-0.709700366	1.020005261	1.333409017	1.23853668	0.977204414	0.073621367	-0.521946015	-0.402347174	-0.497204232	-0.838610845	-1.672968106
Zm00001d027416	M14	-0.156540535	-0.993096421	0.173789384	-0.668083265	-0.132927812	-1.231779037	-1.177439096	1.071098821	1.01193263	1.828936383	0.274108946
Zm00001d027421	M14	-1.254697852	-1.110817851	-0.171937547	0.247360588	-0.267384536	-0.862827996	-0.938155982	1.057837092	0.446057952	1.506979442	1.34758669
Zm00001d027422	M12	-0.573789523	-1.130983462	-0.583728895	-0.797340648	-0.775113877	-0.146967615	-0.738065349	0.58044846	1.19611289	1.295437551	1.673990469
Zm00001d027425	M1	0.969768043	-0.796668103	-0.870609113	-1.016321755	-0.611120193	2.407433072	0.440257765	-0.262265952	0.221007126	-0.103935019	-0.37754587
Zm00001d027427	M1	2.057555766	0.142712409	-0.778711479	-1.322413483	-0.032463237	0.731426546	-0.422408811	-0.525156564	1.292007139	-0.372930456	-0.76961783
Zm00001d027429	M1	2.213131246	0.051950501	0.177828265	0.921762028	-0.688427981	0.109802271	-1.855631886	-0.331082228	-0.075708706	-0.12711627	-0.39650724
Zm00001d027434	M6	0.235262101	-0.970247111	-1.179307399	-1.075643487	-0.987410997	0.079160709	1.222361114	0.176990327	0.407366582	0.152512047	1.938956114
Zm00001d027436	M1	2.121493952	-0.924913343	-0.807155253	-0.820002298	-0.616011908	1.557002217	-0.097837426	0.005926083	-0.686001064	0.124101547	0.143397493
Zm00001d027441	M2	1.846128772	1.219068878	-0.340411694	-0.271167529	-0.273609575	1.248982873	-0.285512753	-0.139090274	-0.737887204	-1.31708707	-0.949414424
Zm00001d027442	M14	-1.072273403	-1.50785653	0.198431994	0.105997868	-0.224417765	-0.450511962	-0.897914902	0.663987361	0.016132168	1.638127354	1.530297817
Zm00001d027444	M6	-0.954928732	1.203249542	1.069821688	1.095833951	0.409017185	-1.450479826	-1.553357015	-0.3275395	0.651229637	0.114643159	-0.257490089
