Gene	Group	BS_P1	BS_3B	BS_4B	BS_5B	BS_6B	M_P1	M_3PM	M_4PM	M_5PM	M_1M	M_2M
Zm00001d040519	M2	8.680827339	46.00920578	14.85583064	22.64776882	24.58827284	28.6274549	75.70818171	61.33545715	64.33659241	53.94640471	74.80994113
Zm00001d040536	M6	3.421655505	2.935481283	2.890380073	2.169905061	2.507258532	3.912493165	5.81718741	3.330175567	5.284397376	4.508458173	4.596765454
Zm00001d040545	M8	0.423336495	1.039451969	1.260169389	1.4792573	2.580460436	2.284861147	8.77763682	3.795783085	3.845430368	4.932356826	4.525780782
Zm00001d040555	M1	16.81016697	16.27444819	18.25297376	15.73226281	19.97960461	20.41148994	14.71111513	19.66399934	15.05133226	16.63680897	17.51861031
Zm00001d000522	M1	15.61867877	33.88655267	24.26517986	25.24733646	29.11902512	16.0719195	41.23940435	16.08062844	30.00149572	23.08713741	19.13935787
Zm00001d000524	M6	6.520339668	14.51785483	10.52936101	11.42747283	12.78543225	5.94459189	12.12445065	6.926698073	9.921446886	8.649835231	6.278587501
Zm00001d040562	M4	8.151871405	11.3221572	6.176543103	7.976055083	9.605797941	6.726632043	7.854640205	3.895321366	4.741018135	5.945193574	5.908230965
Zm00001d040567	M12	1.888076831	3.82099448	1.437508029	2.149593891	2.356689133	3.12287593	8.257796236	4.653512235	6.96045306	11.56156559	10.34478976
Zm00001d040582	M6	5.833127839	9.220164896	9.784829839	8.762732961	8.205841762	1.485184584	4.174331972	6.016572408	7.147073189	6.343455225	4.887459455
Zm00001d040583	M6	3.103813144	6.082854216	7.972861999	7.137837434	6.735577355	2.636954005	3.006080311	4.607533583	4.80677751	5.461004821	6.075356459
Zm00001d040588	M6	82.91895807	91.45402024	87.25522026	89.21140759	80.47117644	73.74719352	61.86300227	82.63020369	73.87224641	80.47669732	80.569231
Zm00001d040596	M14	16.43205793	21.96929587	22.25160298	24.03391193	22.42586067	18.75652651	12.13071673	25.27837571	21.44123749	20.43576017	16.18926235
Zm00001d040599	M6	4.020607094	7.42317313	8.574310353	7.932772554	8.019591157	3.052752802	1.765128221	2.447374713	2.485484683	3.172706433	2.088145393
