Gene	mGM	3C	4BS+V 	5BS+V	6BS+V	PM	3PM	4PM	5/6PM	1M	2M
Zm00001d023729	7.398990065	14.36977426	18.74929734	18.88114265	16.7560124	7.885362343	9.203829919	13.01314955	13.8625886	12.43832944	11.60877453
Zm00001d023732	14.63971084	21.73124374	25.07461198	20.2295615	22.05230061	14.98057302	11.78285162	13.32583803	11.86755927	13.14170731	14.32890115
Zm00001d023733	134.1885405	78.00472332	80.34435509	80.2239834	78.2451959	130.4073039	99.34703881	93.40658995	94.22991446	88.63787539	71.81053551
Zm00001d023734	412.9276582	521.8076704	546.1109572	528.0507314	495.0954568	402.2642081	312.0450094	370.5087852	357.7323679	407.1746595	368.4423251
Zm00001d023735	61.28113052	62.80738851	50.48771637	50.81256681	56.66155026	68.95169293	79.35219532	67.38246078	64.38365316	62.19586886	70.43883211
Zm00001d023736	0.675520612	0	0	0	0.321657639	0.435276733	0.283047399	0.143919944	0.303243669	0.378625193	0.222264771
Zm00001d023737	17.25432855	8.328032993	5.759034472	10.57632866	9.43962111	39.1948224	50.18911405	73.97500721	65.43351479	52.82004984	45.10389772
Zm00001d023738	15.36069928	21.78003554	24.30332318	23.60294397	24.45935078	14.26841062	21.90933773	22.32424679	23.42135061	23.02799208	22.7269066
Zm00001d023741	54.22269077	81.01752641	80.60312991	74.21172683	77.29998402	44.5278436	53.34146358	65.51320272	66.05982637	64.50820255	64.1147533
Zm00001d023749	6.664511945	16.84513621	18.28172554	15.74456598	16.48440327	5.93589457	9.269736599	10.45223243	13.52214506	10.71890969	9.849146993
Zm00001d023753	2.119581589	0.817622845	0.69098085	0.586160702	0.550973955	3.103130406	0.383826605	0.34585299	0.591702187	0.530952668	0
Zm00001d023756	32.66132009	52.23837524	53.50359396	52.37385962	49.23524831	27.98178331	26.64894332	39.99471961	41.82420706	41.35825572	41.6430147
Zm00001d023757	8.571413899	10.87762673	15.99734685	17.13204123	16.74226612	9.084813415	12.13505965	25.13224987	24.78191925	30.03406552	27.0017885
Zm00001d023760	35.17896452	35.25087931	52.80585435	45.3315284	47.01222642	35.42539553	30.36031369	37.96876892	42.21451381	42.90016015	34.91695618
Zm00001d023762	5.374163208	8.771821633	8.113000295	7.137616381	8.939102158	5.52434604	5.990792765	5.57895097	6.504636341	5.907146953	5.85651454
Zm00001d023767	105.605723	97.76006092	78.05598986	77.4725373	78.49694921	89.02600765	60.06754064	57.05071639	61.42377924	62.67117099	60.40203004
Zm00001d023779	2.940567595	4.559210903	4.639610088	4.703441553	4.649557765	3.730575856	3.441017059	4.197808451	4.950854233	3.756841738	3.288295181
Zm00001d023781	0	0.956974239	1.366312294	1.831505888	1.602413657	0.478158104	0	0.325594649	0.055090517	0.451887848	0
Zm00001d023784	4.530622728	4.848343352	6.070373524	4.649335499	4.776165238	4.547225378	4.276683951	4.617429613	5.405672641	4.578899214	4.580878875
Zm00001d023785	6.663053075	4.90835607	2.400022219	1.556842787	2.403335691	7.755935954	6.109829965	0.967019528	1.022900536	1.343842833	1.354291896
Zm00001d023788	4.684698346	4.615104302	4.600009365	4.674102388	4.509626527	4.003388923	4.167543004	3.525497159	3.707340387	4.107052497	3.865959057
Zm00001d023791	6.512944895	9.044408212	11.13162707	9.839172332	9.74767567	6.914116344	6.110650276	9.781356207	8.009275878	9.523860279	8.831156478
Zm00001d023792	6.031595592	9.279042409	12.00890802	11.14234743	10.66210596	6.927945919	8.456493448	8.568741864	9.594169728	9.474742451	8.975649641
Zm00001d023793	0.885512381	0.325105484	1.142037624	0.599412665	0.6411914	0.773258163	1.622997391	1.259309126	0.883431931	0.837332456	1.152563168
Zm00001d023795	31.19420048	38.27956367	42.76943805	37.0225	41.39011298	27.13377259	28.45811676	28.4868146	31.70143253	30.97524097	26.26445372
Zm00001d023796	4.185205656	8.606244425	8.630906527	7.252926184	8.387487217	3.969231699	4.446967228	5.652570628	4.250559248	4.861018366	5.050524686
Zm00001d023797	3.527576606	5.598345331	5.287857875	4.93678527	5.575734823	3.033990891	3.455124972	3.401331701	3.637168831	3.561136505	2.869498343
Zm00001d023800	5.301334976	2.285016719	1.546156615	1.369861137	2.059998594	5.80260787	4.990608569	0.628954315	0.636030739	0.283373666	0.844853769
Zm00001d023801	20.74717233	22.4989677	25.0292151	23.91064366	22.5468577	17.11152078	15.83553124	21.71762744	21.57506937	21.63240049	19.42028488
Zm00001d023802	24.47003694	33.3855327	44.84047443	43.07081619	37.2272451	22.5528961	28.71474452	43.29799177	45.22900937	43.96401875	48.92215751
Zm00001d023804	50.75045218	18.46530037	31.36078465	29.27313088	26.04837912	65.34738144	32.52208563	49.22379548	31.01905355	50.64481717	43.31924396
