elements	sets
Zm00001d007274	3BS-3PM
Zm00001d031893	3BS-3PM
Zm00001d034601	3BS-3PM
Zm00001d039387	3BS-3PM
Zm00001d033522	3BS-3PM
Zm00001d045311	3BS-3PM
Zm00001d029102	3BS-3PM
Zm00001d041804	3BS-3PM
Zm00001d025774	3BS-3PM
Zm00001d042658	3BS-3PM
Zm00001d031636	3BS-3PM
Zm00001d007884	3BS-3PM
Zm00001d051403	3BS-3PM
Zm00001d012535	3BS-3PM
Zm00001d020877	3BS-3PM
Zm00001d041416	3BS-3PM
Zm00001d053675	3BS-3PM
Zm00001d004198	3BS-3PM
Zm00001d011646	3BS-3PM
Zm00001d005998	3BS-3PM
Zm00001d007827	3BS-3PM
Zm00001d005071	3BS-3PM
Zm00001d012684	3BS-3PM
Zm00001d026632	3BS-3PM
Zm00001d035610	3BS-3PM
Zm00001d018796	3BS-3PM
Zm00001d008216	3BS-3PM
Zm00001d031957	3BS-3PM
Zm00001d033902	3BS-3PM
Zm00001d042388	3BS-3PM
Zm00001d008359	3BS-3PM
Zm00001d025958	3BS-3PM
Zm00001d029903	3BS-3PM
Zm00001d041819	3BS-3PM
Zm00001d017241	3BS-3PM
Zm00001d036293	3BS-3PM
Zm00001d015420	3BS-3PM
Zm00001d001476	3BS-3PM
Zm00001d052194	3BS-3PM
Zm00001d052950	3BS-3PM
Zm00001d050455	3BS-3PM
Zm00001d014617	3BS-3PM
Zm00001d031696	3BS-3PM
Zm00001d008305	3BS-3PM
Zm00001d043242	3BS-3PM
Zm00001d029378	3BS-3PM
Zm00001d004342	3BS-3PM
Zm00001d048703	3BS-3PM
Zm00001d045323	3BS-3PM
Zm00001d002346	3BS-3PM
Zm00001d002141	3BS-3PM
Zm00001d023213	3BS-3PM
Zm00001d025229	3BS-3PM
Zm00001d011928	3BS-3PM
Zm00001d036366	3BS-3PM
Zm00001d050043	3BS-3PM
Zm00001d008499	3BS-3PM
Zm00001d023707	3BS-3PM
Zm00001d049684	3BS-3PM
Zm00001d033976	3BS-3PM
Zm00001d018090	3BS-3PM
Zm00001d006663	3BS-3PM
Zm00001d008929	3BS-3PM
Zm00001d021703	3BS-3PM
Zm00001d015628	3BS-3PM
Zm00001d040725	3BS-3PM
Zm00001d021511	3BS-3PM
Zm00001d050824	3BS-3PM
Zm00001d044686	3BS-3PM
Zm00001d051529	3BS-3PM
Zm00001d031940	3BS-3PM
Zm00001d020434	3BS-3PM
Zm00001d038999	3BS-3PM
Zm00001d028572	3BS-3PM
Zm00001d013056	3BS-3PM
Zm00001d040260	3BS-3PM
Zm00001d010056	3BS-3PM
Zm00001d053661	3BS-3PM
Zm00001d053865	3BS-3PM
Zm00001d031168	3BS-3PM
Zm00001d037631	3BS-3PM
Zm00001d048634	3BS-3PM
Zm00001d034356	3BS-3PM
Zm00001d032162	3BS-3PM
Zm00001d044228	3BS-3PM
Zm00001d047814	3BS-3PM
Zm00001d010049	3BS-3PM
Zm00001d026339	3BS-3PM
Zm00001d047464	3BS-3PM
Zm00001d009936	3BS-3PM
Zm00001d005996	3BS-3PM
Zm00001d020188	3BS-3PM
Zm00001d018369	3BS-3PM
Zm00001d043795	3BS-3PM
Zm00001d035859	3BS-3PM
Zm00001d020898	3BS-3PM
Zm00001d042049	3BS-3PM
Zm00001d011297	3BS-3PM
Zm00001d035000	3BS-3PM
Zm00001d022569	3BS-3PM
Zm00001d002500	3BS-3PM
Zm00001d011144	3BS-3PM
Zm00001d010728	3BS-3PM
Zm00001d005446	3BS-3PM
Zm00001d052841	3BS-3PM
Zm00001d006036	3BS-3PM
Zm00001d045352	3BS-3PM
Zm00001d007011	3BS-3PM
Zm00001d019312	3BS-3PM
Zm00001d019850	3BS-3PM
Zm00001d053932	3BS-3PM
Zm00001d033612	3BS-3PM
Zm00001d021629	3BS-3PM
Zm00001d048479	3BS-3PM
Zm00001d038365	3BS-3PM
Zm00001d034440	3BS-3PM
Zm00001d027291	3BS-3PM
Zm00001d037453	3BS-3PM
Zm00001d044939	3BS-3PM
Zm00001d036985	3BS-3PM
Zm00001d019515	3BS-3PM
Zm00001d026685	3BS-3PM
Zm00001d049399	3BS-3PM
Zm00001d011073	3BS-3PM
Zm00001d006321	3BS-3PM
Zm00001d047087	3BS-3PM
Zm00001d008210	3BS-3PM
Zm00001d053234	3BS-3PM
Zm00001d025944	3BS-3PM
Zm00001d012245	3BS-3PM
Zm00001d013015	3BS-3PM
Zm00001d027456	3BS-3PM
Zm00001d037323	3BS-3PM
Zm00001d037338	3BS-3PM
Zm00001d037573	3BS-3PM
Zm00001d046925	3BS-3PM
Zm00001d012607	3BS-3PM
Zm00001d034543	3BS-3PM
Zm00001d053591	3BS-3PM
Zm00001d007206	3BS-3PM
Zm00001d008620	3BS-3PM
Zm00001d008706	3BS-3PM
Zm00001d007857	3BS-3PM
Zm00001d035512	3BS-3PM
Zm00001d000247	3BS-3PM
Zm00001d034126	3BS-3PM
Zm00001d034715	3BS-3PM
Zm00001d015852	3BS-3PM
Zm00001d052595	3BS-3PM
Zm00001d004248	3BS-3PM
Zm00001d015215	3BS-3PM
Zm00001d022303	3BS-3PM
Zm00001d052385	3BS-3PM
Zm00001d001820	4BS-4PM
Zm00001d021784	4BS-4PM
Zm00001d030109	4BS-4PM
Zm00001d051110	4BS-4PM
Zm00001d050239	4BS-4PM
Zm00001d004859	4BS-4PM
Zm00001d018797	4BS-4PM
Zm00001d012420	4BS-4PM
Zm00001d007267	4BS-4PM
Zm00001d021955	4BS-4PM
Zm00001d006923	4BS-4PM
Zm00001d043299	4BS-4PM
Zm00001d033132	4BS-4PM
Zm00001d003395	4BS-4PM
Zm00001d039040	4BS-4PM
Zm00001d003767	4BS-4PM
Zm00001d017147	4BS-4PM
Zm00001d003429	4BS-4PM
Zm00001d002690	4BS-4PM
Zm00001d046786	4BS-4PM
Zm00001d034621	4BS-4PM
Zm00001d009589	4BS-4PM
Zm00001d015385	4BS-4PM
Zm00001d051161	4BS-4PM
Zm00001d018298	4BS-4PM
Zm00001d042926	4BS-4PM
Zm00001d026501	4BS-4PM
Zm00001d023737	4BS-4PM
Zm00001d051875	4BS-4PM
Zm00001d038984	4BS-4PM
Zm00001d048998	4BS-4PM
Zm00001d001139	4BS-4PM
Zm00001d021763	4BS-4PM
Zm00001d038170	4BS-4PM
Zm00001d004817	4BS-4PM
Zm00001d037323	4BS-4PM
Zm00001d012791	4BS-4PM
Zm00001d034776	4BS-4PM
Zm00001d040613	4BS-4PM
Zm00001d053055	4BS-4PM
Zm00001d000259	4BS-4PM
Zm00001d032222	4BS-4PM
Zm00001d034635	4BS-4PM
Zm00001d027652	4BS-4PM
Zm00001d051746	4BS-4PM
Zm00001d003085	4BS-4PM
Zm00001d039264	4BS-4PM
Zm00001d012535	4BS-4PM
Zm00001d031893	4BS-4PM
Zm00001d017274	4BS-4PM
Zm00001d001031	4BS-4PM
Zm00001d008681	4BS-4PM
Zm00001d051529	4BS-4PM
Zm00001d033522	4BS-4PM
Zm00001d010715	4BS-4PM
Zm00001d031871	4BS-4PM
Zm00001d039837	4BS-4PM
Zm00001d034818	4BS-4PM
Zm00001d016952	4BS-4PM
Zm00001d039566	4BS-4PM
Zm00001d052039	4BS-4PM
Zm00001d042104	4BS-4PM
Zm00001d018034	4BS-4PM
Zm00001d001476	4BS-4PM
Zm00001d053675	4BS-4PM
Zm00001d038570	4BS-4PM
Zm00001d024885	4BS-4PM
Zm00001d052194	4BS-4PM
Zm00001d032973	4BS-4PM
Zm00001d003181	4BS-4PM
Zm00001d002346	4BS-4PM
Zm00001d048957	4BS-4PM
Zm00001d008706	4BS-4PM
Zm00001d025381	4BS-4PM
Zm00001d004894	4BS-4PM
Zm00001d018225	4BS-4PM
Zm00001d030314	4BS-4PM
Zm00001d003016	4BS-4PM
Zm00001d005421	4BS-4PM
Zm00001d031325	4BS-4PM
Zm00001d041819	4BS-4PM
Zm00001d020732	4BS-4PM
Zm00001d052112	4BS-4PM
Zm00001d020877	4BS-4PM
Zm00001d027619	4BS-4PM
Zm00001d027929	4BS-4PM
Zm00001d010871	4BS-4PM
Zm00001d028555	4BS-4PM
Zm00001d010426	4BS-4PM
Zm00001d029049	4BS-4PM
Zm00001d024886	4BS-4PM
Zm00001d028180	4BS-4PM
Zm00001d017526	4BS-4PM
Zm00001d042922	4BS-4PM
Zm00001d008929	4BS-4PM
Zm00001d010529	4BS-4PM
Zm00001d012325	4BS-4PM
Zm00001d008359	4BS-4PM
Zm00001d020681	4BS-4PM
Zm00001d001857	4BS-4PM
Zm00001d049443	4BS-4PM
Zm00001d044973	4BS-4PM
Zm00001d052133	4BS-4PM
Zm00001d008377	4BS-4PM
Zm00001d026599	4BS-4PM
Zm00001d007827	4BS-4PM
Zm00001d003422	4BS-4PM
Zm00001d023344	4BS-4PM
Zm00001d048053	4BS-4PM
Zm00001d021435	4BS-4PM
Zm00001d042178	4BS-4PM
Zm00001d048703	4BS-4PM
Zm00001d049950	4BS-4PM
Zm00001d012394	4BS-4PM
Zm00001d039842	4BS-4PM
Zm00001d002137	4BS-4PM
Zm00001d040666	4BS-4PM
Zm00001d051659	4BS-4PM
Zm00001d049543	4BS-4PM
Zm00001d032719	4BS-4PM
Zm00001d008620	4BS-4PM
Zm00001d029853	4BS-4PM
Zm00001d005446	4BS-4PM
Zm00001d041804	4BS-4PM
Zm00001d052010	4BS-4PM
Zm00001d028820	4BS-4PM
Zm00001d051362	4BS-4PM
Zm00001d018322	4BS-4PM
Zm00001d016237	4BS-4PM
Zm00001d040509	4BS-4PM
Zm00001d050153	4BS-4PM
Zm00001d019563	4BS-4PM
Zm00001d002052	4BS-4PM
Zm00001d043049	4BS-4PM
Zm00001d021620	4BS-4PM
Zm00001d025944	4BS-4PM
Zm00001d017121	4BS-4PM
Zm00001d007382	4BS-4PM
Zm00001d048707	4BS-4PM
Zm00001d000506	4BS-4PM
Zm00001d006180	4BS-4PM
Zm00001d011080	4BS-4PM
Zm00001d023395	4BS-4PM
Zm00001d004198	4BS-4PM
Zm00001d044650	4BS-4PM
Zm00001d041246	4BS-4PM
Zm00001d019518	4BS-4PM
Zm00001d000247	4BS-4PM
Zm00001d039732	4BS-4PM
Zm00001d000295	4BS-4PM
Zm00001d049387	4BS-4PM
Zm00001d028562	4BS-4PM
Zm00001d013146	4BS-4PM
Zm00001d043238	4BS-4PM
Zm00001d042049	4BS-4PM
Zm00001d016256	4BS-4PM
Zm00001d052224	4BS-4PM
Zm00001d037513	4BS-4PM
Zm00001d048711	4BS-4PM
Zm00001d012603	4BS-4PM
Zm00001d027291	4BS-4PM
Zm00001d011845	4BS-4PM
Zm00001d041416	4BS-4PM
Zm00001d039535	4BS-4PM
Zm00001d033976	4BS-4PM
Zm00001d027904	4BS-4PM
Zm00001d002905	4BS-4PM
Zm00001d003309	4BS-4PM
Zm00001d033989	4BS-4PM
Zm00001d039907	4BS-4PM
Zm00001d033709	4BS-4PM
Zm00001d040028	4BS-4PM
Zm00001d017252	4BS-4PM
Zm00001d028572	4BS-4PM
Zm00001d002141	4BS-4PM
Zm00001d018731	4BS-4PM
Zm00001d037094	4BS-4PM
Zm00001d038806	4BS-4PM
Zm00001d022005	4BS-4PM
Zm00001d020434	4BS-4PM
Zm00001d020238	4BS-4PM
Zm00001d003379	4BS-4PM
Zm00001d035002	4BS-4PM
Zm00001d045192	4BS-4PM
Zm00001d050635	4BS-4PM
Zm00001d025319	4BS-4PM
Zm00001d050824	4BS-4PM
Zm00001d048705	4BS-4PM
Zm00001d009146	4BS-4PM
Zm00001d027456	4BS-4PM
Zm00001d009877	4BS-4PM
Zm00001d044228	4BS-4PM
Zm00001d007857	4BS-4PM
Zm00001d026223	4BS-4PM
Zm00001d008216	4BS-4PM
Zm00001d035001	4BS-4PM
Zm00001d031556	4BS-4PM
Zm00001d040519	4BS-4PM
Zm00001d013751	4BS-4PM
Zm00001d028714	4BS-4PM
Zm00001d035899	4BS-4PM
Zm00001d040260	4BS-4PM
Zm00001d038794	4BS-4PM
Zm00001d014168	4BS-4PM
Zm00001d012607	4BS-4PM
Zm00001d034543	4BS-4PM
Zm00001d022264	4BS-4PM
Zm00001d049657	4BS-4PM
Zm00001d027539	4BS-4PM
Zm00001d052595	4BS-4PM
Zm00001d051403	4BS-4PM
Zm00001d014617	4BS-4PM
Zm00001d012981	4BS-4PM
Zm00001d051804	4BS-4PM
Zm00001d053908	4BS-4PM
Zm00001d018356	4BS-4PM
Zm00001d042809	4BS-4PM
Zm00001d040650	4BS-4PM
Zm00001d021850	4BS-4PM
Zm00001d035859	4BS-4PM
Zm00001d039432	4BS-4PM
Zm00001d022415	4BS-4PM
Zm00001d047687	4BS-4PM
Zm00001d009778	4BS-4PM
Zm00001d039589	4BS-4PM
Zm00001d048411	4BS-4PM
Zm00001d035317	4BS-4PM
Zm00001d042658	4BS-4PM
Zm00001d031168	4BS-4PM
Zm00001d005460	4BS-4PM
Zm00001d031696	4BS-4PM
Zm00001d023343	4BS-4PM
Zm00001d052950	4BS-4PM
Zm00001d003310	4BS-4PM
Zm00001d036366	4BS-4PM
Zm00001d021703	4BS-4PM
Zm00001d009060	4BS-4PM
Zm00001d015628	4BS-4PM
Zm00001d018796	4BS-4PM
Zm00001d047329	4BS-4PM
Zm00001d009858	4BS-4PM
Zm00001d017241	4BS-4PM
Zm00001d029378	4BS-4PM
Zm00001d017111	4BS-4PM
Zm00001d008826	4BS-4PM
Zm00001d049294	4BS-4PM
Zm00001d031636	4BS-4PM
Zm00001d038845	4BS-4PM
Zm00001d028896	4BS-4PM
Zm00001d000270	4BS-4PM
Zm00001d053127	4BS-4PM
Zm00001d035683	4BS-4PM
Zm00001d013937	4BS-4PM
Zm00001d008210	4BS-4PM
Zm00001d028222	4BS-4PM
Zm00001d027681	4BS-4PM
Zm00001d034204	4BS-4PM
Zm00001d033902	4BS-4PM
Zm00001d016277	4BS-4PM
Zm00001d048422	4BS-4PM
Zm00001d018090	4BS-4PM
Zm00001d044972	4BS-4PM
Zm00001d017419	4BS-4PM
Zm00001d049952	4BS-4PM
Zm00001d028360	4BS-4PM
Zm00001d039455	4BS-4PM
Zm00001d024314	4BS-4PM
Zm00001d013015	4BS-4PM
Zm00001d037018	4BS-4PM
Zm00001d038211	4BS-4PM
Zm00001d030698	4BS-4PM
Zm00001d036917	4BS-4PM
Zm00001d000838	4BS-4PM
Zm00001d013250	4BS-4PM
Zm00001d049510	4BS-4PM
Zm00001d052242	4BS-4PM
Zm00001d045139	4BS-4PM
Zm00001d038838	4BS-4PM
Zm00001d028568	4BS-4PM
Zm00001d050403	4BS-4PM
Zm00001d037492	4BS-4PM
Zm00001d025551	4BS-4PM
Zm00001d046621	4BS-4PM
Zm00001d022071	4BS-4PM
Zm00001d010793	4BS-4PM
Zm00001d026786	4BS-4PM
Zm00001d053296	4BS-4PM
Zm00001d046485	4BS-4PM
Zm00001d053865	4BS-4PM
Zm00001d032197	4BS-4PM
Zm00001d011369	4BS-4PM
Zm00001d051532	4BS-4PM
